Junction,week,day,traffic_time,month,Traffic_Level
1,0,7,0,11,Low
1,0,7,1,11,Low
1,0,7,2,11,Low
1,0,7,3,11,Low
1,0,7,4,11,Low
1,0,7,5,11,Low
1,0,7,6,11,Low
1,0,7,7,11,Low
1,0,7,8,11,Low
1,0,7,9,11,Low
1,0,7,10,11,Low
1,0,7,11,11,Low
1,0,7,12,11,Low
1,0,7,13,11,Low
1,0,7,14,11,Low
1,0,7,15,11,Low
1,0,7,16,11,Low
1,0,7,17,11,Low
1,0,7,18,11,Low
1,0,7,19,11,Low
1,0,7,20,11,Low
1,0,7,21,11,Low
1,0,7,22,11,Low
1,0,7,23,11,Low
1,1,1,0,11,Low
1,1,1,1,11,Low
1,1,1,2,11,Low
1,1,1,3,11,Low
1,1,1,4,11,Low
1,1,1,5,11,Low
1,1,1,6,11,Low
1,1,1,7,11,Low
1,1,1,8,11,Low
1,1,1,9,11,Low
1,1,1,10,11,Medium
1,1,1,11,11,Medium
1,1,1,12,11,Medium
1,1,1,13,11,Low
1,1,1,14,11,Medium
1,1,1,15,11,Low
1,1,1,16,11,Low
1,1,1,17,11,Low
1,1,1,18,11,Low
1,1,1,19,11,Low
1,1,1,20,11,Low
1,1,1,21,11,Medium
1,1,1,22,11,Low
1,1,1,23,11,Low
1,1,2,0,11,Low
1,1,2,1,11,Low
1,1,2,2,11,Low
1,1,2,3,11,Low
1,1,2,4,11,Low
1,1,2,5,11,Low
1,1,2,6,11,Low
1,1,2,7,11,Low
1,1,2,8,11,Low
1,1,2,9,11,Low
1,1,2,10,11,Medium
1,1,2,11,11,Medium
1,1,2,12,11,Medium
1,1,2,13,11,Low
1,1,2,14,11,Low
1,1,2,15,11,Low
1,1,2,16,11,Low
1,1,2,17,11,Low
1,1,2,18,11,Low
1,1,2,19,11,Low
1,1,2,20,11,Low
1,1,2,21,11,Low
1,1,2,22,11,Low
1,1,2,23,11,Low
1,1,3,0,11,Low
1,1,3,1,11,Low
1,1,3,2,11,Low
1,1,3,3,11,Low
1,1,3,4,11,Low
1,1,3,5,11,Low
1,1,3,6,11,Low
1,1,3,7,11,Low
1,1,3,8,11,Low
1,1,3,9,11,Low
1,1,3,10,11,Low
1,1,3,11,11,Low
1,1,3,12,11,Medium
1,1,3,13,11,Low
1,1,3,14,11,Low
1,1,3,15,11,Low
1,1,3,16,11,Low
1,1,3,17,11,Low
1,1,3,18,11,Low
1,1,3,19,11,Low
1,1,3,20,11,Low
1,1,3,21,11,Low
1,1,3,22,11,Low
1,1,3,23,11,Low
1,1,4,0,11,Low
1,1,4,1,11,Low
1,1,4,2,11,Low
